Player,Tm,Pos,Status,Injury Comment,Practice Status
Hunter Long,LAR,TE,1,Hamstring,Full Participation In Practice
Ernest Jones,LAR,LB,1,Knee,Full Participation In Practice
Puka Nacua,LAR,WR,1,Knee,Full Participation In Practice
Bobby Brown,LAR,NT,0,Knee,Full Participation In Practice
Matthew Stafford,LAR,QB,1,Thumb,Full Participation In Practice
Rob Havenstein,LAR,T,1,Calf,Limited Participation In Practice
Larrell Murchison,LAR,DT,1,Knee,Limited Participation In Practice
Cobie Durant,LAR,DB,0,Shoulder,Limited Participation In Practice
Ronnie Stanley,BAL,T,1,Knee,Did Not Participate In Practice
Devin Duvernay,BAL,WR,1,Hamstring,Did Not Participate In Practice
Trenton Simpson,BAL,LB,1,Concussion,Did Not Participate In Practice
Jadeveon Clowney,BAL,OLB,1,Rest,Did Not Participate In Practice
Odell Beckham Jr.,BAL,WR,1,Rest,Did Not Participate In Practice
Marlon Humphrey,BAL,CB,1,Calf,Did Not Participate In Practice
John Simpson,BAL,G,1,Illness,Full Participation In Practice
Kyle Van Noy,BAL,OLB,1,Groin,Full Participation In Practice
Daryl Worley,BAL,CB,1,Hamstring,Full Participation In Practice
Morgan Moses,BAL,T,1,Shoulder,Full Participation In Practice
Gerald Everett,LAC,TE,1,Back,Did Not Participate In Practice
Khalil Mack,LAC,OLB,1,Rest,Did Not Participate In Practice
Alohi Gilman,LAC,S,1,Elbow,Full Participation In Practice
Rashawn Slater,LAC,T,0,Knee,Full Participation In Practice
Joey Bosa,LAC,OLB,0,Hand,Full Participation In Practice
JT Woods,LAC,S,0,Illness,Limited Participation In Practice
Donald Parham,LAC,TE,1,Hip,Limited Participation In Practice
Sebastian Joseph-Day,LAC,DL,0,Knee,Limited Participation In Practice
Keenan Allen,LAC,WR,1,Shoulder,Limited Participation In Practice
Dareke Young,SEA,WR,1,Abdomen,Did Not Participate In Practice
Tyler Lockett,SEA,WR,1,Hamstring,Did Not Participate In Practice
Leonard Williams,SEA,DL,0,Rest,Did Not Participate In Practice
Jordyn Brooks,SEA,LB,0,Knee,Full Participation In Practice
Anthony Bradford,SEA,G,0,Knee,Full Participation In Practice
Damien Lewis,SEA,G,1,Back,Full Participation In Practice
Michael Dickson,SEA,P,1,Hamstring,Full Participation In Practice
Tre Brown,SEA,CB,1,Toe,Full Participation In Practice
Jamal Adams,SEA,SS,0,Knee,Limited Participation In Practice
Abraham Lucas,SEA,T,0,Knee,Limited Participation In Practice
Colby Parkinson,SEA,TE,0,Biceps,Limited Participation In Practice
Nick Zakelj,SFO,OL,0,Biceps,Did Not Participate In Practice
Aaron Banks,SFO,OL,1,Toe,Did Not Participate In Practice
Darrell Luter,SFO,CB,0,Knee,Full Participation In Practice
Robert Beal,SFO,DL,0,Hamstring,Full Participation In Practice
Trent Williams,SFO,T,0,Rest,Full Participation In Practice
Samuel Womack,SFO,CB,0,Knee,Full Participation In Practice
Colton McKivitz,SFO,OL,1,Ankle,Limited Participation In Practice
Demetrius Flannigan-Fowles,SFO,LB,0,Ankle,Limited Participation In Practice
Ryan Neal,TAM,S,0,Thumb,Did Not Participate In Practice
Josh Hayes,TAM,DB,0,Concussion,Full Participation In Practice
Carlton Davis,TAM,CB,1,Toe,Full Participation In Practice
Matt Feiler,TAM,OL,0,Knee,Full Participation In Practice
Mike Evans,TAM,WR,0,Quadriceps,Full Participation In Practice
Devin White,TAM,LB,0,Foot,Limited Participation In Practice
Luke Goedeke,TAM,G,1,Foot,Limited Participation In Practice
Alex Armah,WAS,RB,0,Hamstring,Did Not Participate In Practice
Antonio Gibson,WAS,RB,0,Toe,Did Not Participate In Practice
Tyler Larsen,WAS,C,1,NIR - Personal,Did Not Participate In Practice
James Smith-Williams,WAS,DE,0,Hamstring,Did Not Participate In Practice
Kendall Fuller,WAS,CB,0,NIR - Rest,Did Not Participate In Practice
Jonathan Allen,WAS,DT,1,NIR - Rest,Did Not Participate In Practice
Benjamin St-Juste,WAS,CB,0,Illness,Full Participation In Practice
Curtis Samuel,WAS,WR,0,Toe,Limited Participation In Practice
